"Type","Object","Status","Message","SCG ID","Priority","SCG Title","Baseline","DISA STIG","PCI DSS 4.0","Remediation"
"VM","Nice-Depot","PASS","Nice-Depot: tools.guestlib.enableHostInfo not configured and is using secure defaults ()","vm-8.restrict-host-info","P2","Virtual machines must not be able to obtain host information from the hypervisor.","FALSE or Undefined","VMCH-80-000198","1.4.5","Get-VM -Name $VM | Get-AdvancedSetting tools.guestlib.enableHostInfo | Remove-AdvancedSetting"
"VM","Nice-Depot","PASS","Nice-Depot: tools.guest.desktop.autolock configured correctly (TRUE)","vm-8.vmrc-lock","P0","Virtual machines must be configured to lock when the last console connection is closed.","TRUE","VMCH-80-000201","N/A","Get-VM -Name $VM | Get-AdvancedSetting -Name tools.guest.desktop.autolock | Set-AdvancedSetting -Value $true"
"VM","Nice-Depot","PASS","Nice-Depot: isolation.tools.paste.disable not configured and is using secure defaults ()","vm-8.deactivate-console-paste","P2","Virtual machines must have console paste operations deactivated.","TRUE or Undefined","VMCH-80-000192","3.4.2","Get-VM -Name $VM | Get-AdvancedSetting -Name isolation.tools.paste.disable | Remove-AdvancedSetting"
"VM","Nice-Depot","PASS","Nice-Depot: isolation.device.connectable.disable not configured and is using secure defaults ()","vm-8.isolation-device-connectable-deactivate","P2","Virtual machines must prevent unauthorized removal, connection and modification of devices.","TRUE or Undefined","VMCH-80-000197","N/A","Get-VM -Name $VM | Get-AdvancedSetting -Name isolation.device.connectable.disable | Remove-AdvancedSetting"
"VM","Nice-Depot","PASS","Nice-Depot: isolation.tools.diskWiper.disable not configured and is using secure defaults ()","vm-8.deactivate-disk-shrinking-wiper","P2","Virtual machines must have virtual disk wiping operations deactivated.","TRUE or Undefined","VMCH-80-000194","N/A","Get-VM -Name $VM | Get-AdvancedSetting -Name isolation.tools.diskWiper.disable | Remove-AdvancedSetting"
"VM","Nice-Depot","PASS","Nice-Depot: mks.enable3d not configured and is using secure defaults ()","vm-8.deactivate-non-essential-3d-features","P2","Virtual machines must have 3D graphics features deactivated when not required.","FALSE","VMCH-80-000202","N/A","Get-VM -Name $VM | Get-AdvancedSetting mks.enable3d | Set-AdvancedSetting -Value $false"
"VM","Nice-Depot","PASS","Nice-Depot: isolation.tools.diskShrink.disable not configured and is using secure defaults ()","vm-8.deactivate-disk-shrinking-shrink","P2","Virtual machines must have virtual disk shrinking operations deactivated.","TRUE or Undefined","VMCH-80-000193","N/A","Get-VM -Name $VM | Get-AdvancedSetting -Name isolation.tools.diskShrink.disable | Remove-AdvancedSetting"
"VM","Nice-Depot","PASS","Nice-Depot: isolation.tools.copy.disable not configured and is using secure defaults ()","vm-8.deactivate-console-copy","P2","Virtual machines must have console copy operations deactivated.","TRUE or Undefined","VMCH-80-000189","3.4.2","Get-VM -Name $VM | Get-AdvancedSetting -Name isolation.tools.copy.disable | Remove-AdvancedSetting"
"VM","Nice-Depot","PASS","Nice-Depot: sched.mem.pshare.salt not configured ().","vm-8.transparentpagesharing-inter-vm-enabled","P2","Virtual machines must restrict sharing of memory pages between VMs.","Not Present","VMCH-80-000199","N/A","Get-VM -Name $VM | Get-AdvancedSetting -Name sched.mem.pshare.salt | Remove-AdvancedSetting"
"VM","Nice-Depot","PASS","Nice-Depot: isolation.tools.dnd.disable not configured and is using secure defaults ()","vm-8.isolation-tools-dnd-deactivate","P2","Virtual machines must have console drag and drop operations deactivated.","TRUE or Undefined","VMCH-80-000191","N/A","Get-VM -Name $VM | Get-AdvancedSetting -Name isolation.tools.dnd.disable | Remove-AdvancedSetting"
"VM","Nice-Depot","PASS","Nice-Depot: log.keepOld not configured and is using secure defaults","vm-8.log-retention","P2","Virtual machines must limit the number of retained diagnostic logs.","10 or Undefined","VMCH-80-000206","10.5.1","Get-VM -Name $VM | Get-AdvancedSetting -Name log.keepOld | Remove-AdvancedSetting"
"VM","Nice-Depot","PASS","Nice-Depot: tools.setInfo.sizeLimit not configured and is using secure defaults","vm-8.limit-setinfo-size","P2","Virtual machines must limit informational messages from the virtual machine to the VMX file.","1048576 or Undefined","VMCH-80-000196","N/A","Get-VM -Name $VM | Get-AdvancedSetting -Name tools.setInfo.sizeLimit | Remove-AdvancedSetting"
"VM","Nice-Depot","PASS","Nice-Depot: log.rotateSize not configured and is using secure defaults","vm-8.log-rotation-size","P2","Virtual machines must limit the size of diagnostic logs.","2048000 or Undefined","VMCH-80-000205","10.5.1","Get-VM -Name $VM | Get-AdvancedSetting -Name log.rotateSize | Remove-AdvancedSetting"
"VM","Nice-Depot","FAIL","Nice-Depot: RemoteDisplay.maxConnections configured incorrectly (-1, expected eq 1)","vm-8.limit-console-connections","P0","Virtual machines must limit console sharing.","1","VMCH-80-000195","N/A","Get-VM -Name $VM | Get-AdvancedSetting RemoteDisplay.maxConnections | Set-AdvancedSetting -Value 1"
"VM","Nice-Depot","FAIL","Nice-Depot: Encrypted vMotion defaults configured (opportunistic).","vm-8.vmotion-encrypted","P1","Virtual machines must require encryption for vMotion.","required","VMCH-80-000203","2.2.7
4.2.1","$VMview = Get-VM -Name $VM | Get-View  $ConfigSpec = New-Object VMware.Vim.VirtualMachineConfigSpec $ConfigSpec.MigrateEncryption = New-Object VMware.Vim.VirtualMachineConfigSpecEncryptedVMotionModes $ConfigSpec.MigrateEncryption = ""required"" $VMview.ReconfigVM_Task($ConfigSpec)"
"VM","Nice-Depot","FAIL","Nice-Depot: Encrypted Fault Tolerance defaults configured (ftEncryptionOpportunistic)","vm-8.ft-encrypted","P1","Virtual machines must require encryption for Fault Tolerance.","ftEncryptionRequired","VMCH-80-000204","2.2.7
4.2.1","$VMview = Get-VM -Name $VM | Get-View  $ConfigSpec = New-Object VMware.Vim.VirtualMachineConfigSpec $ConfigSpec.FtEncryptionMode = New-object VMware.Vim.VirtualMachineConfigSpecEncryptedFtModes $ConfigSpec.FtEncryptionMode = ""ftEncryptionRequired""  $VMview.ReconfigVM_Task($ConfigSpec)"
"VM","Nice-Depot","PASS","Nice-Depot: Diagnostic logging configured correctly (True)","vm-8.log-enable","P2","Virtual machines must enable diagnostic logging.","TRUE","VMCH-80-000207","10.5.1","$VMview = Get-VM -Name $VM | Get-View  $ConfigSpec = New-Object VMware.Vim.VirtualMachineConfigSpec $ConfigSpec.Flags = New-Object VMware.Vim.VirtualMachineFlagInfo $ConfigSpec.Flags.EnableLogging = $true $VMview.ReconfigVM_Task($ConfigSpec)"
"VM","Nice-Depot","PASS","Nice-Depot: dvFilters not configured ()","vm-8.dvfilter","P2","Virtual machines must limit access through the ""dvfilter"" network Application Programming Interface (API).","Not Present","VMCH-80-000200","N/A","Get-VM -Name $VM | Get-AdvancedSetting ""ethernet*.filter*.name*"" | Remove-AdvancedSetting"
"VM","Nice-Depot","PASS","Nice-Depot: Passthrough hardware devices not configured","vm-8.pci-passthrough","P0","Virtual machines must limit PCI device passthrough functionality.","Not Present","VMCH-80-000214","N/A","Get-VM -Name $VM | Get-PassthroughDevice | Remove-PassthroughDevice"
"VM","Nice-Depot","FAIL","Nice-Depot: VirtualAHCIController device present. Evaluate and remove if not necessary.",,,,,,,
"VM","Nice-Depot","FAIL","Nice-Depot: VirtualCdrom device present. Evaluate and remove if not necessary.",,,,,,,
"VM","Nice-Depot","FAIL","Nice-Depot: VM permitted to boot from all possible sources. ()",,,,,,,
"VM","Nice-Depot","INFO","Nice-Depot: Audit of Nice-Depot completed at 2026-09-07 09:01:58",,,,,,,
"VM","psh-esxi01","INFO","VMware Virtual Machine Security Settings Audit Utility 8.0.3",,,,,,,
"VM","psh-esxi01","INFO","Audit of psh-esxi01 started at 2026-09-07 09:01:58 from HCSVDI-28 by broadcom",,,,,,,
"VM","psh-esxi01","INFO","EULA accepted.",,,,,,,
"VM","psh-esxi01","FAIL","psh-esxi01: VM does not have Secure Boot configured (False)","guest-8.secure-boot","P0","The guest OS must enable Secure Boot.","TRUE","N/A","5.2.3","$VMobj = (Get-VM -Name $VM) $ConfigSpec = New-Object VMware.Vim.VirtualMachineConfigSpec $bootOptions = New-Object VMware.Vim.VirtualMachineBootOptions $bootOptions.EfiSecureBootEnabled = $true $ConfigSpec.BootOptions = $bootOptions $task = $VMobj.ExtensionData.ReconfigVM_Task($ConfigSpec)"
"VM","psh-esxi01","PASS","psh-esxi01: VM is VM Hardware 21 (vSphere 8) (vmx-21)",,,,,,,
"VM","psh-esxi01","PASS","psh-esxi01: tools.guestlib.enableHostInfo not configured and is using secure defaults ()","vm-8.restrict-host-info","P2","Virtual machines must not be able to obtain host information from the hypervisor.","FALSE or Undefined","VMCH-80-000198","1.4.5","Get-VM -Name $VM | Get-AdvancedSetting tools.guestlib.enableHostInfo | Remove-AdvancedSetting"
