"No","AdvisoryID","Title","Severity","CVSS","Published","CVEs","Link","FixedInfo"
"1","VCDSA38017","VMSA-2026-0006.1: VMware ESX, vCenter, Workstation, and Fusion updates address multiple vulnerabilities (CVE-2026-59309, CVE-2026-59310, CVE-2026-47876, CVE-2026-41703, CVE-2026-41709)","CRITICAL","2.7-9.8","29 July 2026","CVE-2026-59309; CVE-2026-59310; CVE-2026-47876; CVE-2026-41703; CVE-2026-41709","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/38017","VMware Cloud Foundation, VMware vSphere Foundation | vCenter | 9.1.x.x | Any | CVE-2026-59309, CVE-2026-59310 | 9.8 | Critical | [1] 9.1.0.0300 | None | FAQ<br>VMware Cloud Foundation, VMware vSphere Foundation | vCenter | 9.0.x.x | Any | CVE-2026-59309, CVE-2026-59310 | 9.8 | Critical | 9.0.2.0100 | None | FAQ<br>VMware Cloud Foundation | vCenter | 5.x | Any | CVE-2026-59309, CVE-2026-59310 | 9.8 | Critical | Async patch to 8.0 U3k | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.1.x.x | Any | CVE-2026-47876 | 9.3 | Critical | ESXi-9.1.0.0200-25557999 | None | FAQ<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.0.x.x | Any | CVE-2026-47876 | 9.3 | Critical | ESXi-9.0.2.0100-25595025 | None | FAQ<br>VMware ESX | N/A | 8.0 | Any | CVE-2026-47876 | 9.3 | Critical | ESXi80U3k-25595708 | None | FAQ<br>VMware ESX | N/A | 8.0 | Any | CVE-2026-47876 | 9.3 | Critical | ESXi80U2f-25626445 | None | FAQ<br>VMware ESX | N/A | 7.0 | Any | CVE-2026-47876 | 9.3 | Critical | Contact Broadcom Support if you have extended support contract. | None | FAQ<br>VMware Cloud Foundation | ESX | 5.x | Any | CVE-2026-47876 | 9.3 | Critical | Async Patching Guide: KB88287 | None | FAQ<br>VMware Telco Cloud Platform | ESX | 5.0.x, 5.1.x | Any | CVE-2026-47876 | 9.3 | Critical | KB449886 | None | None<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.1.x.x | Any | CVE-2026-41703 | 7.6 | Important | ESXi-9.1.0.0-25370933 | None | None<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.0.x.x | Any | CVE-2026-41703 | 7.6 | Important | ESXi-9.0.2.0100-25595025 | None | None<br>VMware ESX | N/A | 8.0 | Any | CVE-2026-41703 | 7.6 | Important | ESXi80U3i-25205845 | None | None<br>VMware Workstation | N/A | 25H2 | Any | CVE-2026-41703 | 2.7 | Low | 26H1 | None | None<br>VMware Fusion | N/A | 25H2 | Any | CVE-2026-41703 | 2.7 | Low | 26H1 | None | None<br>VMware Cloud Foundation | ESX | 5.x | Any | CVE-2026-41703 | 7.6 | Important | 5.2.3 | None | Async Patching Guide: KB88287<br>VMware Telco Cloud Platform | ESX | 5.0.x, 5.1.x | Any | CVE-2026-41703 | 7.6 | Important | KB449886 | None | None<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.1.x.x | Any | CVE-2026-41709 | 2.7 | Low | ESXi-9.1.0.0-25370933 | None | None<br>VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.0.x.x | Any | CVE-2026-41709 | 2.7 | Low | ESXi-9.0.2.0100-25595025 | None | None<br>VMware ESX | N/A | 8.0 | Any | CVE-2026-41709 | 2.7 | Low | ESXi80U3j-25429389 | None | None<br>VMware Cloud Foundation | ESX | 5.x | Any | CVE-2026-41709 | 2.7 | Low | 5.2.4 | None | Async Patching Guide: KB88287<br>VMware Telco Cloud Platform | ESX | 5.0.x, 5.1.x | Any | CVE-2026-41709 | 2.7 | Low | KB449886 | None | None"
"2","VCDSA37513","VMSA-2026-0004: VMware Cloud Foundation Operations updates address multiple vulnerabilities (CVE-2026-41722, CVE-2026-41723 and CVE-2026-41724)","HIGH","8.0","08 June 2026","CVE-2026-41722; CVE-2026-41723; CVE-2026-41724","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/37513","VMware Cloud Foundation VMware vSphere Foundation | VMware Cloud Foundation Operations | 9.1.x.x | Any | CVE-2026-41722, CVE-2026-41723 | 8.0, 8.0 | Important | 9.1.0.0 | None | None<br>VMware Cloud Foundation VMware vSphere Foundation | VMware Cloud Foundation Operations | 9.0.x.x | Any | CVE-2026-41722, CVE-2026-41723 | 8.0, 8.0 | Important | 9.0.2.0 EP2 | None | None<br>VMware Aria Operations | N/A | 8.x | Any | CVE-2026-41722, CVE-2026-41723 | 8.0, 8.0 | Important | 8.18.6 | None | None<br>VMware Aria Operations | N/A | 8.x | Any | CVE-2026-41722, CVE-2026-41723, CVE-2026-41724 | 8.0, 8.0, 8.0 | Important | 8.18.7 | None | None<br>VMware Cloud Foundation | VMware Aria Operations | 5.x | Any | CVE-2026-41722, CVE-2026-41723, CVE-2026-41724 | 8.0, 8.0, 8.0 | Important | 8.18.7 | None | None<br>VMware Telco Cloud Platform | VMware Aria Operations | 5.x | Any | CVE-2026-41722, CVE-2026-41723, CVE-2026-41724 | 8.0, 8.0, 8.0 | Important | KB443138 | None | None"
"3","VCDSA37454","VMSA-2026-0003: VMware Fusion updates address privilege escalation vulnerability (CVE-2026-41702)","HIGH","7.8","14 May 2026","CVE-2026-41702CVE-2026-41702 CVE-2026-41702 CVE-2026-41702 CVE-2026-41702 CVE-2026-41702 CVE-2026-41702 CVE-2026-41702 CVE-2026-41702 CVE-2026-41702 CVE-2026-41702 CVE-2026-41702","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/37454","VMware Fusion | 25H2 | Any | CVE-2026-41702 | 7.8 | Important | 26H1 | None | None"
"4","VCDSA36986","VMSA-2026-0002: VMware Workstation and Fusion updates address multiple vulnerabilities (CVE-2026-22715, CVE-2026-22716, CVE-2026-22717, CVE-2026-22722)","MEDIUM","2.7 - 6.1","26 February 2026","CVE-2026-22715; CVE-2026-22716; CVE-2026-22717; CVE-2026-22722","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/36986","VMware Workstation | 17.x, 25H2 | Any | CVE-2026-22715,CVE-2026-22716,CVE-2026-22717 | 5.9, 5.0, 2.7 | Moderate | 25H2u1 | None | None<br>VMware Workstation | 17.x, 25H2 | Windows | CVE-2026-22722 | 6.1 | Moderate | 25H2u1 | None | None<br>VMware Fusion | 13.x, 25H2 | MacOS | CVE-2026-22715 | 5.9 | Moderate | 25H2u1 | None | None"
"5","VCDSA36947","VMSA-2026-0001: VMware Aria Operations updates address multiple vulnerabilities (CVE-2026-22719, CVE-2026-22720 and CVE-2026-22721)","HIGH","6.2 - 8.1","24 February 2026","CVE-2026-22719; CVE-2026-22720; CVE-2026-22721","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/36947","VMware Cloud Foundation VMware vSphere Foundation | VMware Cloud Foundation Operations | 9.x.x.x | Any | CVE-2026-22719, CVE-2026-22720, CVE-2026-22721 | 8.1, 8.0, 6.2 | Important | 9.0.2.0 | KB430349(CVE-2026-22719) | None<br>VMware Aria Operations | N/A | 8.x | Any | CVE-2026-22719, CVE-2026-22720, CVE-2026-22721 | 8.1, 8.0, 6.2 | Important | 8.18.6 | KB430349(CVE-2026-22719) | None<br>VMware Cloud Foundation | VMware Aria Operations | 5.x, 4.x | Any | CVE-2026-22719, CVE-2026-22720, CVE-2026-22721 | 8.1, 8.0, 6.2 | Important | 8.18.6 | KB430349(CVE-2026-22719) | None<br>VMware Telco Cloud Platform | VMware Aria Operations | 5.x, 4.x | Any | CVE-2026-22719, CVE-2026-22720, CVE-2026-22721 | 8.1, 8.0, 6.2 | Important | KB428241 | KB430349(CVE-2026-22719) | None<br>VMware Telco Cloud Infrastructure | VMware Aria Operations | 3.x, 2.x | Any | CVE-2026-22719, CVE-2026-22720, CVE-2026-22721 | 8.1, 8.0, 6.2 | Important | KB428241 | KB430349(CVE-2026-22719) | None"
"6","VCDSA36150","VMSA-2025-0016: VMware vCenter and NSX updates address multiple vulnerabilities (CVE-2025-41250, CVE-2025-41251, CVE-2025-41252)","HIGH","7.5-8.5","29 September 2025","CVE-2025-41250; CVE-2025-41251; CVE-2025-41252","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/36150","VMware Cloud Foundation, VMware vSphere Foundation | vCenter | 9.x.x.x | Any | CVE-2025-41250 | 8.5 | Important | 9.0.1.0 | None | None<br>VMware Cloud Foundation | vCenter | 5.x | Any | CVE-2025-41250 | 8.5 | Important | 5.2.2 | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation | vCenter | 4.5.x | Any | CVE-2025-41250 | 8.5 | Important | Async patch to 7.0 U3w | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation, VMware vSphere Foundation | VMware NSX | 9.x.x.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | 9.0.1.0 | None | None<br>VMware NSX | N/A | 4.2.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | 4.2.2.2, 4.2.3.1 | None | None<br>VMware NSX | N/A | 4.1.x, 4.0.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | 4.1.2.7 | None | None<br>NSX-T | N/A | 3.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | 3.2.4.3 | None | None<br>VMware Cloud Foundation | VMware NSX | 5.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | KB88287 | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation | VMware NSX | 4.5.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | KB88287 | None | Async Patching Guide: KB88287<br>VMware Telco Cloud Infrastructure | VMware NSX | 3.x, 2.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | KB411518 | None | None<br>VMware Telco Cloud Platform | VMware NSX | 5.x, 4.x, 3.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | KB411518 | None | None"
"7","VCDSA36149","VMSA-2025-0015: VMware Aria Operations and VMware Tools updates address multiple vulnerabilities (CVE-2025-41244,CVE-2025-41245, CVE-2025-41246)","HIGH","4.9 -7.8","29 September 2025","CVE-2025-41244; CVE-2025-41245; CVE-2025-41246","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/36149","VMware Cloud Foundation VMware vSphere Foundation | VMware Cloud Foundation Operations | 9.x.x.x | Any | CVE-2025-41244 | 7.8 | Important | 9.0.1.0 | None | None<br>VMware Cloud Foundation VMware vSphere Foundation | VMware Tools | 13.x.x.x [2] | Windows, Linux | CVE-2025-41244 | 7.8 | Important | 13.0.5.0 | None | None<br>VMware Aria Operations | VMware Aria Operations | 8.x | Any | CVE-2025-41244, CVE-2025-41245 | 7.8 , 4.9 | Important | 8.18.5 | None | None<br>VMware Tools | N/A | 13.x.x | Windows, Linux | CVE-2025-41244 | 7.8 | Important | 13.0.5 | None<br>VMware Tools | N/A | 12.x.x, 11.x.x | Windows, Linux | CVE-2025-41244 | 7.8 | Important | 12.5.4 | None | None<br>VMware Cloud Foundation | VMware Aria Operations | 5.x, 4.x | Any | CVE-2025-41244, CVE-2025-41245 | 7.8, 4.9 | Important | KB92148 | None | None<br>VMware Telco Cloud Platform | VMware Aria Operations | 5.x, 4.x | Any | CVE-2025-41244, CVE-2025-41245 | 7.8, 4.9 | Important | 8.18.5 | None | None<br>VMware Telco Cloud Infrastructure | VMware Aria Operations | 3.x, 2.x | Any | CVE-2025-41244, CVE-2025-41245 | 7.8, 4.9 | Important | 8.18.5 | None | None<br>VMware Cloud Foundation VMware vSphere Foundation | VMware Tools | 13.x.x.x [2] | Windows | CVE-2025-41246 | 7.6 | Important | 13.0.5.0 | None | None<br>VMware Tools [2] | N/A | 13.x.x | Windows | CVE-2025-41246 | 7.6 | Important | 13.0.5 | None | None<br>VMware Tools [2] | N/A | 12.x.x, 11.x.x | Windows | CVE-2025-41246 | 7.6 | Important | 12.5.4 | None | None<br>VMware Tools | N/A | 12.x.x, 11.x.x | Linux | CVE-2025-41246 | N/A | N/A | Unaffected | N/A | N/A<br>VMware Tools | N/A | 12.x.x, 11.x.x | macOS | CVE-2025-41246 | N/A | N/A | Unaffected | N/A | N/A"
"8","VCDSA35964","VMSA-2025-0014: VMware vCenter updates address a denial-of-service vulnerability (CVE-2025-41241)","MEDIUM","4.4","29 July 2025","CVE-2025-41241CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/35964","VMware Cloud Foundation, VMware vSphere Foundation | vCenter | 9.0.0.0 | Any | CVE-2025-41241 | N/A | N/A | Unaffected | N/A | N/A<br>VMware Cloud Foundation | N/A | 5.x | Any | CVE-2025-41241 | 4.4 | Moderate | Async patch to 8.0 U3g | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation | N/A | 4.5.x | Any | CVE-2025-41241 | 4.4 | Moderate | Async patch to 7.0 U3v | None | Async Patching Guide: KB88287"
"9","VCDSA35877","VMSA-2025-0013: VMware ESXi, Workstation, Fusion, and Tools updates address multiple vulnerabilities (CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239)","CRITICAL","6.2-9.3","15 July 2025","CVE-2025-41236; CVE-2025-41237; CVE-2025-41238; CVE-2025-41239","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/35877","VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.0.0.0 | Any | CVE-2025-41236, CVE-2025-41238, CVE-2025-41239 | N/A | N/A | Unaffected | N/A | N/A<br>ESX | 9.0.0.0 | Any | CVE-2025-41237 | 8.4 | Important | ESXi-9.0.0.0100-24813472 | None | Additional guidance for updating VMware Tools asynchronously is available in the FAQ.<br>VMware Tools [1] | 13.0.0.0 | Windows | CVE-2025-41239 | 6.2 | Moderate | 13.0.1.0 | None | FAQ<br>VMware ESXi | N/A | 8.0 | Any | CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239 | 9.3, 8.4, 7.4, 7.1 | Critical | ESXi80U3f-24784735 | None | Additional guidance for updating VMware Tools asynchronously is available in the FAQ.<br>VMware ESXi | N/A | 8.0 | Any | CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239 | 9.3, 8.4, 7.4, 7.1 | Critical | ESXi80U2e-24789317 | None | Additional guidance for updating VMware Tools asynchronously is available in the FAQ.<br>VMware ESXi | N/A | 7.0 | Any | CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239 | 9.3, 8.4, 7.4, 7.1 | Critical | ESXi70U3w-24784741 | None | Additional guidance for updating VMware Tools asynchronously is available in the FAQ.<br>VMware Workstation | N/A | 17.x | Any | CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239 | 9.3, 9.3, 9.3, 7.1 | Critical | 17.6.4 | None | FAQ<br>VMware Fusion | N/A | 13.x | Any | CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239 | 9.3, 9.3, 9.3, 7.1 | Critical | 13.6.4 | None | FAQ<br>VMware Cloud Foundation | N/A | 5.x | Any | CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239 | 9.3, 8.4, 7.4, 7.1 | Critical | Async patch to ESXi80U3f-24784735 | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation | N/A | 4.5.x | Any | CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239 | 9.3, 8.4, 7.4, 7.1 | Critical | Async patch to ESXi70U3w-24784741 | None | Async Patching Guide: KB88287<br>VMware Telco Cloud Platform | N/A | 5.x, 4.x | Any | CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239 | 9.3, 8.4, 7.4, 7.1 | Critical | ESXi80U3f-24784735 | None | FAQ<br>VMware Telco Cloud Platform | N/A | 3.x, 2.x | Any | CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239 | 9.3, 8.4, 7.4, 7.1 | Critical | ESXi70U3w-24784741 | None | FAQ<br>VMware Telco Cloud Infrastructure | N/A | 3.x, 2.x | Any | CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239 | 9.3, 8.4, 7.4, 7.1 | Critical | ESXi70U3w-24784741 | FAQ<br>VMware Tools [1] | N/A | 13.x.x | Windows | CVE-2025-41239 | 6.2 | Moderate | 13.0.1.0 | None | FAQ<br>VMware Tools [1] | N/A | 12.x.x, 11.x.x | Windows | CVE-2025-41239 | 6.2 | Moderate | 12.5.3 [2] | None | FAQ<br>VMware Tools | N/A | 13.x.x, 12.x.x, 11.x.x | Linux | CVE-2025-41239 | N/A | N/A | Unaffected | N/A | N/A<br>VMware Tools | N/A | 13.x.x, 12.x.x, 11.x.x | macOS | CVE-2025-41239 | N/A | N/A | Unaffected | N/A | N/A"
"10","VCDSA25738","VMSA-2025-0012: VMware NSX updates address multiple vulnerabilities (CVE-2025-22243, CVE-2025-22244, CVE-2025-22245)","HIGH","5.9-7.5","04 June 2025","CVE-2025-22243; CVE-2025-22244; CVE-2025-22245","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25738","Advisory ID: | VMSA-2025-0012.1<br>Advisory Severity: | Important<br>CVSSv3 Range: | 5.9-7.5<br>Issue date: | 2025-06-04<br>Updated on: | 2025-07-18 (Initial Advisory)<br>CVE(s) | CVE-2025-22243, CVE-2025-22244, CVE-2025-22245<br>VMware Product | Version | Running On | CVE | CVSSv3 | Severity | Fixed Version | Workarounds | Additional Documentation<br>VMware NSX | 4.2.x | Any | CVE-2025-22243, CVE-2025-22244, CVE-2025-22245 | 7.5, 6.9, 5.9 | Important | 4.2.2.1 | None | None<br>VMware NSX | 4.2.1.x | Any | CVE-2025-22243, CVE-2025-22244, CVE-2025-22245 | 7.5, 6.9, 5.9 | Important | 4.2.1.4 | None | None<br>VMware NSX | 4.1.x, 4.0.x | Any | CVE-2025-22243, CVE-2025-22244, CVE-2025-22245 | 7.5, 6.9, 5.9 | Important | 4.1.2.6 | None | None<br>NSX-T | 3.2.x | Any | CVE-2025-22243, CVE-2025-22244, CVE-2025-22245 | 7.5, 6.9, 5.9 | Important | 3.2.4.2 | None | None<br>VMware Cloud Foundation | 5.2.x | Any | CVE-2025-22243, CVE-2025-22244, CVE-2025-22245 | 7.5, 6.9, 5.9 | Important | Async patch to NSX 4.2.2.1 | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation | 5.1.x, 5.0.x | Any | CVE-2025-22243, CVE-2025-22244, CVE-2025-22245 | 7.5, 6.9, 5.9 | Important | Async patch to NSX 4.1.2.6 | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation | 4.5.x | Any | CVE-2025-22243, CVE-2025-22244, CVE-2025-22245 | 7.5, 6.9, 5.9 | Important | Async patch to NSX 3.2.4.2 | None | Async Patching Guide: KB88287<br>VMware Telco Cloud Infrastructure | 3.x, 2.x | Any | CVE-2025-22243, CVE-2025-22244, CVE-2025-22245 | 7.5, 6.9, 5.9 | Important | KB396986 | None | None<br>VMware Telco Cloud Platform | 5.x, 4.x, 3.x, 2.x | Any | CVE-2025-22243, CVE-2025-22244, CVE-2025-22245 | 7.5, 6.9, 5.9 | Important | KB396986 | None | None"
"11","VCDSA25717","VMSA-2025-0010 : VMware ESXi, vCenter Server, Workstation, and Fusion updates address multiple vulnerabilities (CVE-2025-41225, CVE-2025-41226, CVE-2025-41227, CVE-2025-41228)","HIGH","4.3-8.8","20 May 2025","CVE-2025-41225; CVE-2025-41226; CVE-2025-41227; CVE-2025-41228","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25717","vCenter Server | 8.0 | Any | CVE-2025-41225, CVE-2025-41228 | 8.8, 4.3 | Important | 8.0 U3e | None | None<br>vCenter Server | 7.0 | Any | CVE-2025-41225 | 8.8 | Important | 7.0 U3v | None | None<br>VMware ESXi | 8.0 | Any | CVE-2025-41226, CVE-2025-41227, CVE-2025-41228 | 6.8, 5.5, 4.3 | Moderate | ESXi80U3se-24659227 | None | None<br>VMware ESXi | 7.0 | Any | CVE-2025-41226, CVE-2025-41227, CVE-2025-41228 | 6.8, 5.5, 4.3 | Moderate | ESXi70U3sv-24723868 | None | None<br>VMware Cloud Foundation (vCenter) | 5.x | Any | CVE-2025-41225, CVE-2025-41228 | 8.8, 4.3 | Important | Async patch to 8.0 U3e | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation (vCenter) | 4.5.x | Any | CVE-2025-41225 | 8.8 | Important | Async patch to 7.0 U3v | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation (ESXi) | 5.x | Any | CVE-2025-41226, CVE-2025-41227, CVE-2025-41228 | 6.8, 5.5, 4.3 | Moderate | Async patch to ESXi80U3se-24659227 | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation (ESXi) | 4.5.x | Any | CVE-2025-41226, CVE-2025-41227, CVE-2025-41228 | 6.8, 5.5, 4.3 | Moderate | Async patch to ESXi70U3sv-24723868 | None | Async Patching Guide: KB88287<br>VMware Telco Cloud Platform (ESXi) | 5.x, 4.x, 3.x, 2.x | Any | CVE-2025-41226, CVE-2025-41227, CVE-2025-41228 | 6.8, 5.5, 4.3 | Moderate | ESXi80U3se-24659227 | None | None<br>VMware Telco Cloud Infrastructure (ESXi) | 3.x | Any | CVE-2025-41226, CVE-2025-41227, CVE-2025-41228 | 6.8, 5.5, 4.3 | Moderate | ESXi80U3se-24659227 | None | None<br>VMware Telco Cloud Infrastructure (ESXi) | 2.x | Any | CVE-2025-41226, CVE-2025-41227, CVE-2025-41228 | 6.8, 5.5, 4.3 | Moderate | ESXi70U3sv-24723868 | None | None<br>VMware Workstation | 17.x | Any | CVE-2025-41227 | 5.5 | Moderate | 17.6.3 | None | None<br>VMware Fusion | 13.x | MacOS | CVE-2025-41227 | 5.5 | Moderate | 13.6.3 | None | None"
"12","VCDSA25733","VMSA-2025-0009 : VMware Cloud Foundation updates address multiple vulnerabilities (CVE-2025-41229, CVE-2025-41230, CVE-2025-41231)","HIGH","7.3-8.2","20 May 2025","CVE-2025-41229; CVE-2025-41230; CVE-2025-41231","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25733","VMware Cloud Foundation | 5.x | Any | CVE-2025-41229, CVE-2025-41230, CVE-2025-41231 | 8.2, 7.5, 7.3 | Important | 5.2.1.2 | None | None<br>VMware Cloud Foundation | 4.5.x | Any | CVE-2025-41229, CVE-2025-41230, CVE-2025-41231 | 8.2, 7.5, 7.3 | Important | KB398008 | None | None"
"13","VCDSA25711","VMSA-2025-0008: VMware Aria automation updates address a DOM based Cross-site scripting vulnerability (CVE-2025-22249)","HIGH","8.2","12 May 2025","CVE-2025-22249CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25711","Version | Running On | CVE | CVSSv3 | Severity | Fixed Version | Workarounds | Additional Documents<br>VMware Aria Automation | 8.18.x | Any | CVE-2025-22249 | 8.2 | Important | 8.18.1 patch 2 | None | None<br>VMware Cloud Foundation | 5.x, 4.x | Any | CVE-2025-22249 | 8.2 | Important | KB394224 | None | None"
"14","VCDSA25683","VMSA-2025-0007: VMware Tools update addresses an insecure file handling vulnerability (CVE-2025-22247)","MEDIUM","6.1","12 May 2025","CVE-2025-22247CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25683","VMware Tools | 12.x.x, 11.x.x | Windows | CVE-2025-22247 | 6.1 | Moderate | 12.5.2 [1] | None | None<br>VMware Tools [2] | 12.x.x, 11.x.x | Linux | CVE-2025-22247 | 6.1 | Moderate | 12.5.2 [3] | None | None<br>VMware Tools | 12.x.x, 11.x.x | macOS | CVE-2025-22247 | N/A | N/A | Unaffected | N/A | N/A"
"15","VCDSA25541","VMSA-2025-0006: VMware Aria Operations updates address a local privilege escalation vulnerability (CVE-2025-22231)","HIGH","7.8","01 April 2025","CVE-2025-22231CVE-2025-22231 CVE-2025-22231 CVE-2025-22231 CVE-2025-22231 CVE-2025-22231 CVE-2025-22231 CVE-2025-22231 CVE-2025-22231 CVE-2025-22231 CVE-2025-22231 CVE-2025-22231 CVE-2025-22231 CVE-2025-22231","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25541","VMware Aria Operations | 8.x | Any | CVE-2025-22231 | 7.8 | Important | 8.18 HF 5 | None | None<br>VMware Cloud Foundation | 5.x,4.x | Any | CVE-2025-22231 | 7.8 | Important | KB article | None | None"
"16","VCDSA25518","VMSA-2025-0005: VMware Tools for Windows update addresses an authentication bypass vulnerability (CVE-2025-22230)","HIGH","7.8","25 March 2025","CVE-2025-22230CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230 CVE-2025-22230","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25518","VMware Tools [2] | 12.x.x, 11.x.x | Windows | CVE-2025-22230 | 7.8 | Important | 12.5.1 [1] | None | None<br>VMware Tools | 12.x.x, 11.x.x | Linux | CVE-2025-22230 | N/A | N/A | Unaffected | None | None<br>VMware Tools | 12.x.x, 11.x.x | macOS | CVE-2025-22230 | N/A | N/A | Unaffected | None | None"
